"Joc Extensions","Extensiones Joc"
"Latch Settings","Ajustes de Latch"
"General Settings","Ajustes Generales"
"<div class='field-tooltip'></div> <strong>Don't you know what is Latch? Get more info <a href='https://latch.elevenpaths.com/www/service.html' target='_blank'>clicking here</a></strong>","<div class='field-tooltip'></div> <strong>¿No sabes qué es Latch? Puedes obtener más información <a href='https://latch.elevenpaths.com/www/service.html' target='_blank'>haciendo clic aquí</a></strong>"
"Enable Latch","Habilitar Latch"
"Yes","Sí"
"No","No"
"Api Settings","Ajustes de Api"
"<div class='field-tooltip'></div> <strong>If you don't know how to get the following parameters, click on the following link for more info: <a href='https://latch.elevenpaths.com/www/how.html' target='_blank'>How Latch Works</a></strong>","<div class='field-tooltip'></div> <strong>Si no sabes cómo obtener los siguientes parámetros, haz clic en el siguiente enlace para más información: <a href='https://latch.elevenpaths.com/www/how.html' target='_blank'>Cómo funciona Latch</a></strong>"
"By default: https://latch.elevenpaths.com","Por defecto: https://latch.elevenpaths.com"
"API Url","Url de la API"
"Secret Key","Clave Secreta"
"Application ID","ID de la aplicación"
"Token Application","Token de la aplicación"
"Don't you know how to get the token? <a href='https://latch.elevenpaths.com/www/how.html' target='_blank'>click here</a> for more details.","¿No sabes cómo obtener el token? <a href='https://latch.elevenpaths.com/www/how.html' target='_blank'>haz clic aquí</a> para más información."
"Unlink Latch Account","Desparear cuenta con Latch"
"Link your account with Latch","Parea tu cuenta con Latch"
"Latch token","Token de Latch"
"* Required Fields","* Campos obligatorios"
"Don't you know how to get the token? click ","¿No sabes cómo obtener el token? haz clic "
"here","aquí"
" for more details."," para más información."
"Save token","Guardar token"
"This is a required field.","Campo obligatorio."
"Back","Volver"
"Your account is already linked with Latch","Tu cuenta está pareada con Latch"
"If you don't want to use more Latch account, you will be able to unlink your account by selecting the following checkbox and confirm your action.","Si no quieres usar Latch, podrás desparear tu cuenta seleccionando la siguiente casilla y confirmando tus cambios."
"Unlink account","Desparear cuenta"
"Confirm action","Confirmar cambios"
"Your account was linked with Latch successfully.","Tu cuenta se ha pareado con Latch con éxito."
"Couldn't link the given token with Latch: ","No se pudo parear el token con Latch: "
"Invalid User Name or Password","Contraseña o usuario no válidos"
"Latch pairing error: Cannot connect to the server. Please, try again later.","Error al parear con Latch: No se pudo conectar con el servidor. Por favor, inténtalo de nuevo más tarde."
"Latch pairing error: Invalid parameters.","Error al parear con Latch: Parámetros no válidos."
"The account was linked with Latch successfully.","La cuenta se ha pareado con Latch con éxito."
"Can't link non admin user with Latch.","No se puede parear una cuenta que no es de administrador con Latch."
"Couldn't unlink with Latch: ","No se pudo desparear con Latch: "
"Your account was unlinked with Latch successfully.","Tu cuenta se ha despareado con Latch con éxito."
"Couldn't unlink your account with Latch: ","Tu cuenta no se pudo desparear con Latch: "
"There is no Latch Id to unlink.","No hay Id de Latch que desparear."
"Your account wasn't unlinked with Latch. Please try again later.","Tu cuenta no se pudo desparear con Latch. Por favor, inténtalo de nuevo más tarde."
"The account was unlinked with Latch successfully.","La cuenta se ha despareado con Latch con éxito."
"Couldn't unlink the account with Latch: ","No se pudo desparear la cuenta con Latch: "
"The account wasn't unlinked with Latch. Please try again later.","La cuenta no se pudo desparear con Latch. Por favor, inténtalo de nuevo más tarde."
"Latch is not ready. Please try to log out and log in again.","Latch no está disponible en este momento. Por favor, intenta cerrar y abrir sesión de nuevo."
"Something was wrong, please try to log in again later: ","Algo ha ido mal, por favor intenta cerrar y abrir sesión de nuevo más tarde: "
"Something was wrong, please try to log in again later.","Algo ha ido mal, por favor intenta cerrar y abrir sesión de nuevo más tarde."
"Invalid login or password","Usuario o contraseña no válidos"
"My Account: Latch Settings","Mi Cuenta: Ajustes de Latch"
"My Account","Mi Cuenta"
"Account not paired","Cuenta no pareada"
"Token not found or expired","El token no se ha encontrado o ha expirado"
